Uw[m/s] 	 u[m/s] 	 N[-] 	 Hs[m] 	 Tp[m] 
6.0	4.816	0.00014538	1.046	7.044
10.0	8.027	0.00025004	1.718	6.984
11.4	9.151	0.00032947	1.988	7.034
12.0	9.633	0.00037624	2.109	7.064
14.0	11.238	0.00062502	2.533	7.195
16.0	12.844	0.00115165	2.986	7.368
18.0	14.449	0.00236371	3.466	7.575
20.0	16.055	0.00542490	3.972	7.810
23.0	18.463	0.02343915	4.776	8.208
23.5	18.864	0.03070184	4.915	8.280
24.0	19.266	0.04052024	5.056	8.352
24.5	19.667	0.05388717	5.198	8.426
24.8	19.908	0.06417542	5.283	8.470
25.0	20.069	0.07221461	5.341	8.500
26.0	20.871	0.13272835	5.631	8.654
27.0	21.674	0.25167830	5.927	8.811
