Uw[m/s] 	 u[m/s] 	 N[-] 	 Hs[m] 	 Tp[m] 
10.0	7.036	0.00020366	1.494	6.967
11.4	8.021	0.00024968	1.717	6.984
12.0	8.443	0.00027540	1.816	6.999
13.0	9.147	0.00032907	1.987	7.034
14.0	9.850	0.00040064	2.165	7.079
15.0	10.554	0.00049719	2.348	7.133
16.0	11.257	0.00062919	2.538	7.197
17.0	11.961	0.00081225	2.733	7.268
18.0	12.665	0.00107005	2.934	7.347
19.0	13.368	0.00143907	3.140	7.432
20.0	14.072	0.00197636	3.351	7.523
21.0	14.775	0.00277267	3.567	7.620
22.0	15.479	0.00397478	3.788	7.722
23.0	16.183	0.00582429	4.013	7.830
24.0	16.886	0.00872601	4.244	7.942
25.0	17.590	0.01337068	4.479	8.058
